"index","county","report","offense","action","year","value"
"2","Alpine","Actions","Felony","Removed from Probation",2008,17
"2","Alpine","Actions","Felony","Terminated",2008,8
"2","Alpine","Actions","Felony","Revoked",2008,6
"2","Alpine","Actions","Felony","Other",2008,3
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2008,15
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2008,23
"2","Alpine","Actions","Misdemeanor","Terminated",2008,10
"2","Alpine","Actions","Misdemeanor","Revoked",2008,12
"2","Alpine","Actions","Misdemeanor","Other",2008,1
"2","Alpine","Caseload","Total",NA,2009,29
"2","Alpine","Caseload","Felony",NA,2009,4
"2","Alpine","Caseload","Misdemeanor",NA,2009,25
"2","Alpine","Actions","Total","Placed on Probation",2009,21
"2","Alpine","Actions","Total","Removed from Probation",2009,21
"2","Alpine","Actions","Total","Terminated",2009,11
"2","Alpine","Actions","Total","Revoked",2009,8
"2","Alpine","Actions","Total","Other",2009,2
"2","Alpine","Actions","Felony","Placed on Probation",2009,2
"2","Alpine","Actions","Felony","Removed from Probation",2009,10
"2","Alpine","Actions","Felony","Terminated",2009,8
"2","Alpine","Actions","Felony","Revoked",2009,2
"2","Alpine","Actions","Felony","Other",2009,0
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2009,19
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2009,11
"2","Alpine","Actions","Misdemeanor","Terminated",2009,3
"2","Alpine","Actions","Misdemeanor","Revoked",2009,6
"2","Alpine","Actions","Misdemeanor","Other",2009,2
"2","Alpine","Caseload","Total",NA,2010,33
"2","Alpine","Caseload","Felony",NA,2010,16
"2","Alpine","Caseload","Misdemeanor",NA,2010,17
"2","Alpine","Actions","Total","Placed on Probation",2010,42
"2","Alpine","Actions","Total","Removed from Probation",2010,38
"2","Alpine","Actions","Total","Terminated",2010,19
"2","Alpine","Actions","Total","Revoked",2010,18
"2","Alpine","Actions","Total","Other",2010,1
"2","Alpine","Actions","Felony","Placed on Probation",2010,24
"2","Alpine","Actions","Felony","Removed from Probation",2010,12
"2","Alpine","Actions","Felony","Terminated",2010,6
"2","Alpine","Actions","Felony","Revoked",2010,6
"2","Alpine","Actions","Felony","Other",2010,0
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2010,18
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2010,26
"2","Alpine","Actions","Misdemeanor","Terminated",2010,13
